file,split,pattern,retention,seed,channel,unit,removed,mae,rmse,gaps,absolute_error_sum,squared_error_sum
V350_Case6_CutFre20.xls,validation,random,0.6,0,acceleration,m/s^2,4773,0.04979788748816966,0.08820271298484819,2859,237.6853169810338,37.132596772257074
V350_Case6_CutFre20.xls,validation,random,0.6,0,uplift,m,4773,5.606725408836035e-06,1.0174309843323307e-05,2859,0.026760900376374394,4.940846401008641e-07
V350_Case6_CutFre20.xls,validation,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case6_CutFre20.xls,validation,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case6_CutFre20.xls,validation,bursty,0.8,0,acceleration,m/s^2,2387,0.24766751454777827,0.3236418806824555,299,591.1823572255468,250.02408776591238
V350_Case6_CutFre20.xls,validation,bursty,0.8,0,uplift,m,2387,2.7231965281643097e-05,3.595959258045107e-05,299,0.06500270112728207,3.086611316643699e-06
V350_Case6_CutFre20.xls,validation,bursty,0.6,0,acceleration,m/s^2,4773,0.2572110035968489,0.3362710243023299,597,1227.6681201677598,539.722257121419
V350_Case6_CutFre20.xls,validation,bursty,0.6,0,uplift,m,4773,2.842765623161344e-05,3.685648107190418e-05,597,0.13568520319349095,6.4836441402983314e-06
V350_Case7_CutFre20.xls,test,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case7_CutFre20.xls,test,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case7_CutFre20.xls,test,random,0.8,0,acceleration,m/s^2,2148,0.02846598250386937,0.03993643715405496,1732,61.14493041831141,3.425886038978411
V350_Case7_CutFre20.xls,test,random,0.8,0,uplift,m,2148,2.904558665091143e-06,3.982528358585599e-06,1732,0.006238992012615775,3.4068423008663907e-08
V350_Case7_CutFre20.xls,test,random,0.6,0,acceleration,m/s^2,4296,0.04996823346887997,0.07990573153990636,2594,214.66353098230834,27.429641807856907
V350_Case7_CutFre20.xls,test,random,0.6,0,uplift,m,4296,5.129423390092768e-06,8.280879923407033e-06,2594,0.02203600288383853,2.9458948902608485e-07
V350_Case7_CutFre20.xls,test,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case7_CutFre20.xls,test,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case7_CutFre20.xls,test,bursty,0.8,0,acceleration,m/s^2,2148,0.2693180766526817,0.35259613044814136,269,578.4952286499603,267.04801903264183
V350_Case7_CutFre20.xls,test,bursty,0.8,0,uplift,m,2148,2.750824365779023e-05,3.5888425907003194e-05,269,0.05908770737693342,2.7665791370491202e-06
V350_Case7_CutFre20.xls,test,bursty,0.6,0,acceleration,m/s^2,4296,0.26344407249726376,0.34238900484620177,537,1131.755735448245,503.6210708276029
V350_Case7_CutFre20.xls,test,bursty,0.6,0,uplift,m,4296,2.6976025836024808e-05,3.516616443351812e-05,537,0.11588900699156257,5.312687583666649e-06
V350_Case8_CutFre20.xls,test,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case8_CutFre20.xls,test,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case8_CutFre20.xls,test,random,0.8,0,acceleration,m/s^2,2387,0.027388609782422475,0.038661487484546474,1908,65.37661155064245,3.567874236853854
V350_Case8_CutFre20.xls,test,random,0.8,0,uplift,m,2387,2.9550800436732824e-06,4.1915685771890125e-06,1908,0.007053776064248125,4.1937792916683356e-08
V350_Case8_CutFre20.xls,test,random,0.6,0,acceleration,m/s^2,4773,0.04874869684801035,0.0797564039659404,2852,232.6775300555534,30.361453805889106
V350_Case8_CutFre20.xls,test,random,0.6,0,uplift,m,4773,5.391759619319866e-06,8.768115350292923e-06,2852,0.02573486866301372,3.6694750875751025e-07
V350_Case8_CutFre20.xls,test,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case8_CutFre20.xls,test,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case8_CutFre20.xls,test,bursty,0.8,0,acceleration,m/s^2,2387,0.25953047123409473,0.3378751358338372,299,619.4992348357841,272.4989828989699
V350_Case8_CutFre20.xls,test,bursty,0.8,0,uplift,m,2387,2.7039696272370692e-05,3.5211718701389504e-05,299,0.06454375500214884,2.959558074633105e-06
V350_Case8_CutFre20.xls,test,bursty,0.6,0,acceleration,m/s^2,4773,0.27111850815791516,0.35352796905083206,597,1294.048639437729,596.5392048534566
V350_Case8_CutFre20.xls,test,bursty,0.6,0,uplift,m,4773,2.879974442694417e-05,3.791209765694027e-05,597,0.13746118014980452,6.860362480980772e-06
V380_Case1_CutFre20.xls,train,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V380_Case1_CutFre20.xls,train,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V380_Case1_CutFre20.xls,train,random,0.8,0,acceleration,m/s^2,2198,0.04358706984090164,0.0652784824516754,1776,95.8043795103018,9.366294036083739
