file,split,speed_kmh,case,cutoff,rows,distance_first_m,distance_last_m,raw_columns_exact,strictly_increasing,intervals,mean_m,std_m,min_m,max_m,median_m
V380_Case5_CutFre200.xls,validation,380,5,200,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case5_CutFre50.xls,validation,380,5,50,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case6_CutFre100.xls,validation,380,6,100,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case6_CutFre150.xls,validation,380,6,150,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case6_CutFre20.xls,validation,380,6,20,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case6_CutFre200.xls,validation,380,6,200,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case6_CutFre50.xls,validation,380,6,50,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case7_CutFre100.xls,test,380,7,100,12364,45.105555555555554,1350.0888888893246,True,True,12363,0.10555555555559079,2.7247399754260878e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case7_CutFre150.xls,test,380,7,150,12364,45.105555555555554,1350.0888888893246,True,True,12363,0.10555555555559079,2.7247399754260878e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case7_CutFre20.xls,test,380,7,20,12364,45.105555555555554,1350.0888888893246,True,True,12363,0.10555555555559079,2.7247399754260878e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case7_CutFre200.xls,test,380,7,200,12364,45.105555555555554,1350.0888888893246,True,True,12363,0.10555555555559079,2.7247399754260878e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case7_CutFre50.xls,test,380,7,50,12364,45.105555555555554,1350.0888888893246,True,True,12363,0.10555555555559079,2.7247399754260878e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case8_CutFre100.xls,test,380,8,100,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case8_CutFre150.xls,test,380,8,150,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case8_CutFre20.xls,test,380,8,20,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case8_CutFre200.xls,test,380,8,200,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case8_CutFre50.xls,test,380,8,50,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
