file,split,speed_kmh,pattern,retention,seed,source_row_first,source_row_last,retained_rows,longest_missing_run_samples,intervals,mean_m,std_m,min_m,max_m,median_m
V380_Case4_CutFre20.xls,train,380,random,0.8,0,1511,13599,9671,5,9670,0.13194990233258191,0.0590219923875128,0.10555555555549745,0.6333333333336668,0.10555555555561114
V380_Case4_CutFre20.xls,train,380,random,0.6,0,1511,13599,7253,11,7252,0.17594533308826077,0.11139872498619958,0.10555555555549745,1.2666666666666515,0.10555555555561114
V380_Case4_CutFre20.xls,train,380,bursty,1.0,0,1511,13599,12089,0,12088,0.10555555555559787,2.4051606644670644e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case4_CutFre20.xls,train,380,bursty,0.8,0,1511,13599,9671,8,9670,0.13194990233258191,0.14689476270096993,0.10555555555549745,0.9500000000005002,0.10555555555561114
V380_Case4_CutFre20.xls,train,380,bursty,0.6,0,1511,13599,7253,8,7252,0.17594533308826077,0.2333687069778807,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case5_CutFre20.xls,validation,380,random,1.0,0,1511,13599,12089,0,12088,0.10555555555559787,2.4051606644670644e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case5_CutFre20.xls,validation,380,random,0.8,0,1511,13599,9671,6,9670,0.13194990233258191,0.05958543775812218,0.10555555555555429,0.73888888888888,0.10555555555561114
V380_Case5_CutFre20.xls,validation,380,random,0.6,0,1511,13599,7253,9,7252,0.17594533308826077,0.11054031972839576,0.10555555555555429,1.0555555555561114,0.10555555555561114
V380_Case5_CutFre20.xls,validation,380,bursty,1.0,0,1511,13599,12089,0,12088,0.10555555555559787,2.4051606644670644e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case5_CutFre20.xls,validation,380,bursty,0.8,0,1511,13599,9671,8,9670,0.13194990233258191,0.14689476270097382,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case5_CutFre20.xls,validation,380,bursty,0.6,0,1511,13599,7253,8,7252,0.17594533308826077,0.2333687069778817,0.10555555555549745,0.9500000000005002,0.10555555555561114
V380_Case6_CutFre20.xls,validation,380,random,1.0,0,1373,12363,10991,0,10990,0.10555555555559562,2.5328351105803348e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case6_CutFre20.xls,validation,380,random,0.8,0,1373,12363,8793,5,8792,0.13194444444449452,0.058975125494112476,0.10555555555555429,0.6333333333336668,0.10555555555561114
V380_Case6_CutFre20.xls,validation,380,random,0.6,0,1373,12363,6595,8,6594,0.1759259259259927,0.11164938311666159,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case6_CutFre20.xls,validation,380,bursty,1.0,0,1373,12363,10991,0,10990,0.10555555555559562,2.5328351105803348e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case6_CutFre20.xls,validation,380,bursty,0.8,0,1373,12363,8793,8,8792,0.13194444444449452,0.14687535440938346,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case6_CutFre20.xls,validation,380,bursty,0.6,0,1373,12363,6595,8,6594,0.1759259259259927,0.23333418922189939,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case7_CutFre20.xls,test,380,random,1.0,0,1236,11127,9892,0,9891,0.10555555555559282,2.6564278596740116e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case7_CutFre20.xls,test,380,random,0.8,0,1236,11127,7914,6,7913,0.13194110956658264,0.05896856009143627,0.10555555555555429,0.73888888888888,0.10555555555561114
V380_Case7_CutFre20.xls,test,380,random,0.6,0,1236,11127,5935,10,5934,0.17594371418947902,0.11377673272390657,0.10555555555555429,1.1611111111117225,0.10555555555561114
V380_Case7_CutFre20.xls,test,380,bursty,1.0,0,1236,11127,9892,0,9891,0.10555555555559282,2.6564278596740116e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case7_CutFre20.xls,test,380,bursty,0.8,0,1236,11127,7914,8,7913,0.13194110956658264,0.14686061528869546,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case7_CutFre20.xls,test,380,bursty,0.6,0,1236,11127,5935,8,5934,0.17594371418947902,0.23335859077112367,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case8_CutFre20.xls,test,380,random,1.0,0,1373,12363,10991,0,10990,0.10555555555559562,2.5328351105803348e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case8_CutFre20.xls,test,380,random,0.8,0,1373,12363,8793,6,8792,0.13194444444449452,0.058975125494112345,0.10555555555555429,0.738888888889278,0.10555555555561114
V380_Case8_CutFre20.xls,test,380,random,0.6,0,1373,12363,6595,9,6594,0.1759259259259927,0.10974131494160996,0.10555555555555429,1.0555555555561114,0.10555555555561114
V380_Case8_CutFre20.xls,test,380,bursty,1.0,0,1373,12363,10991,0,10990,0.10555555555559562,2.5328351105803348e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case8_CutFre20.xls,test,380,bursty,0.8,0,1373,12363,8793,8,8792,0.13194444444449452,0.1468753544093848,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case8_CutFre20.xls,test,380,bursty,0.6,0,1373,12363,6595,8,6594,0.1759259259259927,0.2333341892219001,0.10555555555555429,0.9500000000005002,0.10555555555561114
